sex,x,L,M,S
M,790,1,88.7693,0.03575
M,791,1,88.7964,0.03576
M,792,1,88.8234,0.03577
M,793,1,88.8504,0.03578
M,794,1,88.8775,0.03579
M,795,1,88.9044,0.0358
M,796,1,88.9314,0.03581
M,797,1,88.9584,0.03582
M,798,1,88.9853,0.03584
M,799,1,89.0122,0.03585
M,800,1,89.0391,0.03586
M,801,1,89.0659,0.03587
M,802,1,89.0927,0.03588
M,803,1,89.1195,0.03589
M,804,1,89.1463,0.0359
M,805,1,89.1731,0.03591
M,806,1,89.1998,0.03592
M,807,1,89.2266,0.03593
M,808,1,89.2533,0.03595
M,809,1,89.2799,0.03596
M,810,1,89.3066,0.03597
M,811,1,89.3332,0.03598
M,812,1,89.3598,0.03599
M,813,1,89.3864,0.036
M,814,1,89.413,0.03601
M,815,1,89.4395,0.03602
M,816,1,89.466,0.03603
M,817,1,89.4925,0.03604
M,818,1,89.519,0.03605
M,819,1,89.5455,0.03607
M,820,1,89.5719,0.03608
M,821,1,89.5983,0.03609
M,822,1,89.6247,0.0361
M,823,1,89.651,0.03611
M,824,1,89.6774,0.03612
M,825,1,89.7037,0.03613
M,826,1,89.73,0.03614
M,827,1,89.7563,0.03615
M,828,1,89.7825,0.03616
M,829,1,89.8087,0.03617
M,830,1,89.8349,0.03618
M,831,1,89.8611,0.0362
M,832,1,89.8873,0.03621
M,833,1,89.9134,0.03622
M,834,1,89.9395,0.03623
M,835,1,89.9656,0.03624
M,836,1,89.9917,0.03625
M,837,1,90.0177,0.03626
M,838,1,90.0437,0.03627
M,839,1,90.0697,0.03628
M,840,1,90.0957,0.03629
M,841,1,90.1216,0.0363
M,842,1,90.1476,0.03631
M,843,1,90.1735,0.03632
M,844,1,90.1994,0.03633
M,845,1,90.2252,0.03634
M,846,1,90.251,0.03636
M,847,1,90.2769,0.03637
M,848,1,90.3026,0.03638
M,849,1,90.3284,0.03639
M,850,1,90.3541,0.0364
M,851,1,90.3799,0.03641
M,852,1,90.4056,0.03642
M,853,1,90.4312,0.03643
M,854,1,90.4569,0.03644
M,855,1,90.4825,0.03645
M,856,1,90.5081,0.03646
M,857,1,90.5337,0.03647
M,858,1,90.5592,0.03648
M,859,1,90.5848,0.03649
M,860,1,90.6103,0.0365
M,861,1,90.6358,0.03651
M,862,1,90.6612,0.03652
M,863,1,90.6867,0.03653
M,864,1,90.7121,0.03654
M,865,1,90.7375,0.03655
M,866,1,90.7628,0.03656
M,867,1,90.7882,0.03657
M,868,1,90.8135,0.03659
M,869,1,90.8388,0.0366
M,870,1,90.8641,0.03661
M,871,1,90.8893,0.03662
M,872,1,90.9146,0.03663
M,873,1,90.9398,0.03664
M,874,1,90.965,0.03665
